388|4785|HP610824|10/07/2008 12:39:00 PM|000XX E 75TH ST|0110|HOMICIDE|ALLEY|True|False|323|3.0|6.0|69.0|01A|1178207.0|1855308.0|2008|08/17/2015 03:03:40 PM|41.758275857|-87.622451031|(41.758275857, -87.622451031)
835|4786|HP616595|10/09/2008 03:30:00 AM|048XX W POLK ST|0110|HOMICIDE|STREET|True|False|1533|15.0|24.0|25.0|01A|1144200.0|1895857.0|2008|08/17/2015 03:03:40 PM|41.87025207|-87.746069362|(41.87025207, -87.746069362)
1334|4787|HP616904|10/09/2008 08:35:00 AM|030XX W MANN DR|0110|HOMICIDE|PARK PROPERTY|False|False|831|8.0|18.0|66.0|01A|1157314.0|1859778.0|2008|08/17/2015 03:03:40 PM|41.770990476|-87.698901469|(41.770990476, -87.698901469)
1907|4788|HP618616|10/10/2008 02:33:00 AM|052XX W CHICAGO AVE|0110|HOMICIDE|RESTAURANT|False|False|1524|15.0|37.0|25.0|01A|1141065.0|1904824.0|2008|08/17/2015 03:03:40 PM|41.894916924|-87.757358147|(41.894916924, -87.757358147)
2436|4789|HP619020|10/10/2008 12:50:00 PM|026XX S HOMAN AVE|0110|HOMICIDE|GARAGE|False|True|1032|10.0|22.0|30.0|01A|1154123.0|1886297.0|2008|08/17/2015 03:03:40 PM|41.843826272|-87.709893465|(41.843826272, -87.709893465)
3056|4790|HP620131|10/10/2008 08:32:00 PM|015XX W 14TH ST|0110|HOMICIDE|STREET|True|True|1231|12.0|2.0|28.0|01A|1166321.0|1893492.0|2008|08/17/2015 03:03:40 PM|41.863318307|-87.664923682|(41.863318307, -87.664923682)
3611|4791|HP620406|10/11/2008 12:55:00 AM|020XX W 23RD ST|0110|HOMICIDE|STREET|True|False|1034|10.0|25.0|31.0|01A|1163192.0|1888742.0|2008|08/17/2015 03:03:40 PM|41.850350125|-87.676543351|(41.850350125, -87.676543351)
4425|4792|HP622040|10/11/2008 10:25:00 PM|069XX S PAXTON AVE|0110|HOMICIDE|STREET|False|False|331|3.0|5.0|43.0|01A|1192078.0|1859337.0|2008|08/17/2015 03:03:40 PM|41.769005966|-87.571485086|(41.769005966, -87.571485086)
5213|4793|HP622164|10/11/2008 10:00:00 PM|060XX S SAWYER AVE|0110|HOMICIDE|PORCH|False|False|823|8.0|16.0|66.0|01A|1155755.0|1864457.0|2008|08/17/2015 03:03:40 PM|41.783861768|-87.704490821|(41.783861768, -87.704490821)
5867|4794|HP622189|10/12/2008 05:47:00 AM|024XX W 51ST ST|0110|HOMICIDE|ALLEY|False|False|911|9.0|14.0|63.0|01A|1160775.0|1870785.0|2008|08/17/2015 03:03:40 PM|41.801124416|-87.685910818|(41.801124416, -87.685910818)
6359|4795|HP623937|10/12/2008 10:33:00 PM|057XX S ASHLAND AVE|0110|HOMICIDE|STREET|False|False|713|7.0|16.0|67.0|01A|1166656.0|1866562.0|2008|08/17/2015 03:03:40 PM|41.789412422|-87.664463578|(41.789412422, -87.664463578)
6917|4796|HP624032|10/12/2008 10:55:00 PM|004XX E 79TH ST|0110|HOMICIDE|STREET|False|False|624|6.0|6.0|44.0|01A|1180479.0|1852723.0|2008|08/17/2015 03:03:40 PM|41.751130513|-87.614203618|(41.751130513, -87.614203618)
7483|4797|HP625052|10/13/2008 02:49:00 PM|112XX S VERNON AVE|0110|HOMICIDE|STREET|False|False|531|5.0|9.0|49.0|01A|1181244.0|1830527.0|2008|08/17/2015 03:03:40 PM|41.690204352|-87.612081729|(41.690204352, -87.612081729)
7955|4798|HP622688|10/13/2008 07:04:00 PM|024XX S HAMLIN AVE|0110|HOMICIDE|STREET|False|False|1013|10.0|22.0|30.0|01A|1151426.0|1887526.0|2008|08/17/2015 03:03:40 PM|41.847252098|-87.719758775|(41.847252098, -87.719758775)
8591|4799|HP626379|10/14/2008 09:37:00 AM|006XX S INDEPENDENCE BLVD|0110|HOMICIDE|AUTO|True|False|1133|11.0|24.0|27.0|01A|1151362.0|1897015.0|2008|08/17/2015 03:03:40 PM|41.873292286|-87.719744775|(41.873292286, -87.719744775)
9125|4800|HP626784|10/14/2008 01:27:00 PM|110XX S NORMAL AVE|0110|HOMICIDE|ALLEY|True|False|2233|22.0|34.0|49.0|01A|1174927.0|1831706.0|2008|08/17/2015 03:03:40 PM|41.693582523|-87.635173415|(41.693582523, -87.635173415)
