S04197400002|02/22/2012|3906|Cigarette Outlet #17 / Burlington|412 N ROOSEVELT ST|BURLINGTON|52601|29|Des Moines|1031080|VODKA 80 PROOF|434|Luxco-St Louis|36306|12|750|$3.25|$4.88|12|$58.56|9.00|2.38
S26899700012|07/22/2015|2500|Hy-Vee Food Store #1 / Ames|3800 W LINCOLN WAY|AMES|50010|85|Story|1012200|SCOTCH WHISKIES|260|Diageo Americas|6196|6|750|$34.49|$51.74|1|$51.74|0.75|0.20
S24892500005|04/06/2015|4673|Sonny's Super Market / West Point|327 5TH ST|WEST POINT|52656|56|Lee|1081600|WHISKEY LIQUEUR|421|Sazerac Co., Inc.|64866|12|750|$8.98|$13.47|24|$323.28|18.00|4.76
S21721200051|10/13/2014|2555|Hy-Vee Food Store / Keokuk|3111 MAIN|KEOKUK|52632|56|Lee|1022100|TEQUILA|395|Proximo|89193|48|200|$3.00|$4.50|48|$216.00|9.60|2.54
S09016600003|11/17/2012|3521|Ameristar Casino / Council Bluffs|2200 RIVER ROAD|COUNCIL BLUFFS|51501|78|Pottawattamie|1041100|AMERICAN DRY GINS|434|Luxco-St Louis|30528|6|1750|$7.00|$10.50|6|$63.00|10.50|2.77
S15029400021|10/09/2013|2576|Hy-Vee Wine and Spirits / Storm Lake|1250 N LAKE ST|STORM LAKE|50588|11|Buena Vista|1012100|CANADIAN WHISKIES|115|Constellation Wine Company, Inc.|11786|12|750|$5.23|$7.84|12|$94.08|9.00|2.38
S08748300063|11/05/2012|2578|Hy-Vee / Charles City|901 KELLY ST|CHARLES CITY|50616|34|Floyd|1012100|CANADIAN WHISKIES|115|Constellation Wine Company, Inc.|11774|24|375|$3.07|$4.60|24|$110.40|9.00|2.38
S21231400112|09/17/2014|2624|Hy-Vee #2 / Dubuque|2395 NW ARTERIAL RD|DUBUQUE|52002|31|Dubuque|1031200|VODKA FLAVORED|260|Diageo Americas|77847|12|750|$8.25|$12.38|12|$148.56|9.00|2.38
S05233900074|04/25/2012|3417|Big G Food Store|PO BOX 261  310 W DILLON|MARENGO|52301|48|Iowa|1041100|AMERICAN DRY GINS|434|Luxco-St Louis|31666|12|750|$3.39|$5.09|2|$10.18|1.50|0.40
S12909100007|06/18/2013|2528|Hy-Vee Food Store #3 / Des Moines|3221 SE 14TH ST|DES MOINES|50315|77|Polk|1081600|WHISKEY LIQUEUR|259|Heaven Hill Brands|86796|12|750|$5.37|$8.05|12|$96.60|9.00|2.38
