0|4673626|HM274058|04/02/2006 01:00:00 PM|055XX N MANGO AVE|2825|OTHER OFFENSE|RESIDENCE|False|False|1622|16.0|45.0|11.0|26|1136872.0|1936499.0|2006|04/15/2016 08:55:02 AM|41.981912692|-87.771996382|(41.981912692, -87.771996382)
1|4673627|HM202199|02/26/2006 01:40:48 PM|065XX S RHODES AVE|2017|NARCOTICS|SIDEWALK|True|False|321|3.0|20.0|42.0|18|1181027.0|1861693.0|2006|04/15/2016 08:55:02 AM|41.775732538|-87.611919814|(41.775732538, -87.611919814)
2|4673628|HM113861|01/08/2006 11:16:00 PM|013XX E 69TH ST|051A|ASSAULT|OTHER|False|False|321|3.0|5.0|69.0|04A|1186023.0|1859609.0|2006|04/15/2016 08:55:02 AM|41.769897392|-87.593670899|(41.769897392, -87.593670899)
4|4673629|HM274049|04/05/2006 06:45:00 PM|061XX W NEWPORT AVE|0460|BATTERY|RESIDENCE|False|False|1633|16.0|38.0|17.0|08B|1134772.0|1922299.0|2006|04/15/2016 08:55:02 AM|41.942984005|-87.780056951|(41.942984005, -87.780056951)
5|4673630|HM187120|02/17/2006 09:03:14 PM|037XX W 60TH ST|1811|NARCOTICS|ALLEY|True|False|822|8.0|13.0|65.0|18|1152412.0|1864560.0|2006|04/15/2016 08:55:02 AM|41.784210853|-87.71674491|(41.784210853, -87.71674491)
6|4673631|HM263167|03/30/2006 10:30:00 PM|014XX W 73RD PL|0560|ASSAULT|APARTMENT|True|False|734|7.0|17.0|67.0|08A|1167688.0|1855998.0|2006|04/15/2016 08:55:02 AM|41.760401372|-87.660982392|(41.760401372, -87.660982392)
7|4673632|HM273234|04/05/2006 12:10:00 PM|050XX N LARAMIE AVE|0460|BATTERY|SCHOOL, PUBLIC, BUILDING|True|False|1623|16.0|45.0|11.0|08B|1140791.0|1932993.0|2006|04/15/2016 08:55:02 AM|41.972220564|-87.75766982|(41.972220564, -87.75766982)
8|4673633|HM275105|04/05/2006 03:00:00 PM|067XX S ROCKWELL ST|0820|THEFT|STREET|False|False|832|8.0|15.0|66.0|06|1160205.0|1859776.0|2006|04/15/2016 08:55:02 AM|41.770925978|-87.688304107|(41.770925978, -87.688304107)
9|4673634|HM275063|04/05/2006 09:30:00 PM|019XX W CHICAGO AVE|0560|ASSAULT|PARKING LOT/GARAGE(NON.RESID.)|False|False|1322|12.0|32.0|24.0|08A|1163122.0|1905349.0|2006|04/15/2016 08:55:02 AM|41.895922672|-87.676333733|(41.895922672, -87.676333733)
10|4673635|HM268513|04/03/2006 03:00:00 AM|063XX S EBERHART AVE|0486|BATTERY|SIDEWALK|False|True|312|3.0|20.0|42.0|08B|1180669.0|1863047.0|2006|04/15/2016 08:55:02 AM|41.77945628|-87.613190628|(41.77945628, -87.613190628)
